,Average Gross Exposure,Max Gross Exposure,Average Cash Weight,Max Cash Weight,Average Active Risk Assets,Max Single Asset Weight
Risk Parity,1.0,1.0000000000000002,0.0,0.0,10.0,0.37820527699678685
Trend + Inv Vol,1.0,1.0000000000000002,0.08089641980445408,0.5793587183891935,10.0,0.23981468849891285
Trend + Inv Vol + Vol Cap,1.0,1.0000000000000002,0.10147869340618146,0.6026556666540968,10.0,0.23179457141588117
