Date,Aggressive OOS
2018-03-31,0.002458496164904389
2018-04-30,0.00014586833862191892
2018-05-31,0.0036522173878946566
2018-06-30,-0.005986629237802547
2018-07-31,0.006132858170553776
2018-08-31,0.006552692971675517
2018-09-30,-0.00109013814421682
2018-10-31,-0.02591461339403727
2018-11-30,0.0020567229498711474
2018-12-31,-0.013945667154266699
2019-01-31,0.0261009780722317
2019-02-28,0.0023411787640628796
2019-03-31,0.018790483691831752
2019-04-30,0.004870205871197114
2019-05-31,-0.0010162768189660755
2019-06-30,0.02817072627571654
2019-07-31,0.000653899925605014
2019-08-31,0.02519362234595447
2019-09-30,-0.001244579797394429
2019-10-31,0.008911094174908485
2019-11-30,0.001678633254896679
2019-12-31,0.015318611367031788
2020-01-31,0.004891470773637182
2020-02-29,-0.014600095576436246
2020-03-31,-0.04548396551065334
2020-04-30,0.031813378147387904
2020-05-31,0.011271116474646384
2020-06-30,0.00948225252344024
2020-07-31,0.029648011995675985
2020-08-31,0.002173709440495286
2020-09-30,-0.010515502101493003
2020-10-31,-0.01117491234595553
2020-11-30,0.032947302933528634
2020-12-31,0.020344963526379715
2021-01-31,-0.005852517186062562
2021-02-28,0.002719916076732388
2021-03-31,0.006696604341106183
2021-04-30,0.025223875918329003
2021-05-31,0.011588655775736296
2021-06-30,0.007227389155639997
2021-07-31,0.008306535530919444
2021-08-31,0.0059069066348507926
2021-09-30,-0.017239825450984663
2021-10-31,0.01993282531208076
2021-11-30,-0.013264612400895633
2021-12-31,0.02017465016583319
2022-01-31,-0.022766977947343853
2022-02-28,-0.002011704420312505
2022-03-31,0.010853477780674607
2022-04-30,-0.02560395736730111
2022-05-31,-0.00022079758719344893
2022-06-30,-0.036769927845807904
2022-07-31,0.0027195503599347468
2022-08-31,-0.024969238879272146
2022-09-30,-0.05010051564444357
2022-10-31,0.026094370394105452
2022-11-30,0.023173852175065124
2022-12-31,-0.015264454255376973
2023-01-31,0.03638731516517346
2023-02-28,-0.029284271531096643
2023-03-31,0.029554879808209086
2023-04-30,0.007054392689025778
2023-05-31,-0.014325788495695008
2023-06-30,0.011969715071393326
2023-07-31,0.013370713103607065
2023-08-31,-0.013296790613597424
2023-09-30,-0.025555231491169787
2023-10-31,-0.007625932851372779
2023-11-30,0.04253487662476285
2023-12-31,0.02925612269471999
2024-01-31,-0.005146818140967102
2024-02-29,0.006511045384034525
2024-03-31,0.02343237559941477
2024-04-30,-0.02006268026178875
2024-05-31,0.0225130304826997
2024-06-30,0.008931482204179567
2024-07-31,0.02122350215416566
2024-08-31,0.017831745939609202
2024-09-30,0.021724813084402023
2024-10-31,-0.020846332926673854
2024-11-30,0.012267389305054676
2024-12-31,-0.022713808447490103
2025-01-31,0.017052130766403068
2025-02-28,0.014165254068167423
2025-03-31,0.0006804860093811693
2025-04-30,-0.0004343304030386825
2025-05-31,0.00922793830913078
2025-06-30,0.0207715553254926
2025-07-31,0.00013681852025096902
2025-08-31,0.017738310014203982
2025-09-30,0.02563250176852425
2025-10-31,0.010659032173965587
2025-11-30,0.008954911081616713
2025-12-31,0.00019334012484729547
2026-01-31,0.026700510379144265
2026-02-28,0.024958699111870226
2026-03-31,-0.029384937873923777
2026-04-30,0.03236054799867479
2026-05-31,0.00906396376269138
