Date,Aggressive OOS
2018-03-31,0.0
2018-04-30,0.016393538795402066
2018-05-31,0.042321525921455716
2018-06-30,0.0653408550479966
2018-07-31,0.06595954331617303
2018-08-31,0.07486464700166587
2018-09-30,0.06019968808106139
2018-10-31,0.05883858373751871
2018-11-30,0.08942188161645015
2018-12-31,0.08383015663340597
2019-01-31,0.18116996687327824
2019-02-28,0.0788729261524602
2019-03-31,0.0628661796902095
2019-04-30,0.045490010710741435
2019-05-31,0.03112881402877294
2019-06-30,0.043337463021555105
2019-07-31,0.08138017525296767
2019-08-31,0.025304508965639617
2019-09-30,0.02957279869655053
2019-10-31,0.027967538162384425
2019-11-30,0.03246162432711822
2019-12-31,0.05718193139273541
2020-01-31,0.04223598493363061
2020-02-29,0.06216621235706441
2020-03-31,0.08708787632849287
2020-04-30,0.16168093647414894
2020-05-31,0.06613925912429089
2020-06-30,0.054939002474410255
2020-07-31,0.04548476223363024
2020-08-31,0.09101661478847058
2020-09-30,0.06718646954759713
2020-10-31,0.05319040505805401
2020-11-30,0.08556383905781145
2020-12-31,0.07980603133693531
2021-01-31,0.06318377825063307
2021-02-28,0.0461789046513674
2021-03-31,0.07978018959965602
2021-04-30,0.05073341917814301
2021-05-31,0.03298975581253706
2021-06-30,0.03944072890732854
2021-07-31,0.04767974127377415
2021-08-31,0.04238110771776128
2021-09-30,0.04554448578823947
2021-10-31,0.05849070641707454
2021-11-30,0.04364361662516364
2021-12-31,0.0517550635976175
2022-01-31,0.08311458121358212
2022-02-28,0.13076790938862576
2022-03-31,0.0771918423095388
2022-04-30,0.10239542539871292
2022-05-31,0.09509353022574457
2022-06-30,0.060617089285167895
2022-07-31,0.05870544563217086
2022-08-31,0.19351838011022093
2022-09-30,0.17974448215616273
2022-10-31,0.0824595759510486
2022-11-30,0.029163653029302045
2022-12-31,0.20100941518719395
2023-01-31,0.1279112569290172
2023-02-28,0.09039052660831481
2023-03-31,0.10891179943253508
2023-04-30,0.11246089765292269
2023-05-31,0.057067100883137475
2023-06-30,0.03439065999678183
2023-07-31,0.07156983762131874
2023-08-31,0.056548373272153854
2023-09-30,0.043047300404216005
2023-10-31,0.07203998658277072
2023-11-30,0.07441458756033979
2023-12-31,0.07621086456208528
2024-01-31,0.1074032187634981
2024-02-29,0.05135548599138762
2024-03-31,0.046040905338727595
2024-04-30,0.03421813775335636
2024-05-31,0.07251802519880737
2024-06-30,0.06191821442676339
2024-07-31,0.0436416262579736
2024-08-31,0.10613275869906283
2024-09-30,0.051408360446128065
2024-10-31,0.03634717260315061
2024-11-30,0.040067117783009115
2024-12-31,0.03432715424171327
2025-01-31,0.11887087324347925
2025-02-28,0.04611338425582464
2025-03-31,0.07489309043847035
2025-04-30,0.03304907832080334
2025-05-31,0.08193241619309728
2025-06-30,0.09057020737038372
2025-07-31,0.08372150429148091
2025-08-31,0.06406589047590319
2025-09-30,0.049044903478901045
2025-10-31,0.04518312302290145
2025-11-30,0.04991939464909601
2025-12-31,0.024922745006866726
2026-01-31,0.028566799798838485
2026-02-28,0.04848127704074928
2026-03-31,0.04002638254820287
2026-04-30,0.11324299515201428
2026-05-31,0.04662704590095639
