Date,Risk Parity,Trend + Inv Vol,Trend + Inv Vol + Vol Cap
2018-02-28,-0.02718394236829618,-0.0221067036027744,-0.0221067036027744
2018-03-31,0.007597110274058395,0.002591700848861149,0.002591700848861149
2018-04-30,-0.0029321686593330796,-0.0003842359312059427,-0.0003842359312059427
2018-05-31,0.008259752431760005,0.005149991279143474,0.005149991279143474
2018-06-30,-0.0037693266556381648,-0.00762850618267631,-0.00762850618267631
2018-07-31,0.005417435989187046,0.008123074406842118,0.008123074406842118
2018-08-31,0.004915526325755702,0.00735886130440521,0.00735886130440521
2018-09-30,-0.002750354638228818,-0.001490162569636037,-0.001490162569636037
2018-10-31,-0.03187377985806916,-0.03896148882108553,-0.03896148882108553
2018-11-30,0.002990027050082148,0.0021149052137401556,0.0021149052137401556
2018-12-31,-0.009386747740803201,-0.021612791149288296,-0.021612791149288296
2019-01-31,0.044935509603539356,0.03793311446618785,0.03793311446618785
2019-02-28,0.00543800969621522,0.004733569706447059,0.004733569706447059
2019-03-31,0.019813330223654082,0.021325898283995556,0.021325898283995556
2019-04-30,0.006719884477346299,0.007121354724163505,0.007121354724163505
2019-05-31,-0.006096377512479464,-0.006504227173746359,-0.006504227173746359
2019-06-30,0.03637004031370296,0.03707521426795458,0.03707521426795458
2019-07-31,-0.0006575283609182778,0.0007511721253375405,0.0007511721253375405
2019-08-31,0.025848570466959195,0.026032785190968133,0.026032785190968133
2019-09-30,-0.0008860664728222484,-0.00023312282376177263,-0.00023312282376177263
2019-10-31,0.010721834905387218,0.010783775518280997,0.010783775518280997
2019-11-30,-0.0004955983503114704,0.0026314274403212686,0.0026314274403212686
2019-12-31,0.014099303043745287,0.01748074047761985,0.01748074047761985
2020-01-31,0.010727976203035311,0.005141944179657709,0.005141944179657709
2020-02-29,-0.009629011057608581,-0.021316875362358555,-0.021316875362358555
2020-03-31,-0.05498875380319572,-0.062416482765362366,-0.05704125539472247
2020-04-30,0.03390051599170132,0.04526737911384756,0.02029976176133311
2020-05-31,0.019638075450841737,0.018736928216310855,0.01378617505393146
2020-06-30,0.014315207665103117,0.014813302029324564,0.014813302029324564
2020-07-31,0.0375769326296557,0.04393060263163658,0.04393060263163658
2020-08-31,-0.00020408042153719118,0.006554907298875023,0.006554907298875023
2020-09-30,-0.009225894118782066,-0.015207028013968093,-0.015207028013968093
2020-10-31,-0.01597900793222605,-0.014984456120509622,-0.014984456120509622
2020-11-30,0.035093471875846535,0.04958728454333899,0.04958728454333899
2020-12-31,0.017861461554657378,0.02781147841237867,0.02781147841237867
2021-01-31,-0.01024884403426351,-0.007047055951570922,-0.007047055951570922
2021-02-28,-0.011639664806261586,0.004037690999871124,0.004037690999871124
2021-03-31,-0.011060723849579733,0.008226792283066024,0.007815309459872537
2021-04-30,0.02487500694587356,0.03483513121270442,0.033651426793345866
2021-05-31,0.013759129715863941,0.016922443497879754,0.016922443497879754
2021-06-30,0.011445034543289902,0.009712129657413093,0.009712129657413093
2021-07-31,0.016080526459609206,0.011607817658701112,0.011607817658701112
2021-08-31,0.0013822783043704436,0.008006852229357698,0.008006852229357698
2021-09-30,-0.018636029463527635,-0.02203320509667955,-0.02203320509667955
2021-10-31,0.01567946604531206,0.029559664340515567,0.029559664340515567
2021-11-30,-0.006560136058312814,-0.01727098424144674,-0.01727098424144674
2021-12-31,0.014201796957223381,0.028869957819155058,0.028869957819155058
2022-01-31,-0.02214412508140531,-0.026190990346655507,-0.026190990346655507
2022-02-28,-0.0037638692631008445,-0.003744167136535897,-0.003744167136535897
2022-03-31,-0.013269597791870261,0.0120824323905187,0.0120824323905187
2022-04-30,-0.0456055520202524,-0.033968334955462594,-0.028495959248917676
2022-05-31,0.003549914919199878,0.0009468111770373905,0.0019450423136808275
2022-06-30,-0.038370109259716165,-0.04182445772193876,-0.0398673186256301
2022-07-31,0.029042856407543973,0.020050109575404713,0.020050109575404713
2022-08-31,-0.03780865731271337,-0.027232296677109444,-0.027232296677109444
2022-09-30,-0.06543331774108191,-0.043307897418611005,-0.043307897418611005
2022-10-31,0.0013086280796600132,0.009709766381117271,0.009709766381117271
2022-11-30,0.06263152147893662,0.03144982201538865,0.03144982201538865
2022-12-31,-0.017855473481627783,-0.01347826063489351,-0.01347826063489351
2023-01-31,0.05364496767343356,0.044224263416803786,0.044224263416803786
2023-02-28,-0.04106642024280413,-0.03357945426735981,-0.03357945426735981
2023-03-31,0.03409255054740314,0.031273436536511594,0.031273436536511594
2023-04-30,0.005099824941201906,0.0076433840189390045,0.007123986808281634
2023-05-31,-0.024465233882430014,-0.01795076031344901,-0.01795076031344901
2023-06-30,0.015689149559820963,0.019322811965056214,0.019322811965056214
2023-07-31,0.020110658251965327,0.0178112440929063,0.0178112440929063
2023-08-31,-0.017233721813513892,-0.020532035872484762,-0.020532035872484762
2023-09-30,-0.03493484900831731,-0.035703187613418653,-0.035703187613418653
2023-10-31,-0.012544400774576896,-0.013125378661207662,-0.013125378661207662
2023-11-30,0.05465731372173724,0.05179643086317815,0.05179643086317815
2023-12-31,0.03359869384257235,0.03575015376775693,0.03575015376775693
2024-01-31,-0.006830613455075511,-0.006171496094783346,-0.006171496094783346
2024-02-29,0.0010452014917518885,0.009529526390851136,0.009529526390851136
2024-03-31,0.03004831763946006,0.027276050928728195,0.027276050928728195
2024-04-30,-0.018304957000339555,-0.02457687362101242,-0.02457687362101242
2024-05-31,0.021240451711831726,0.028023171609500665,0.02759577011778725
2024-06-30,0.008005326071724583,0.01057693183227178,0.01057693183227178
2024-07-31,0.022133205352921046,0.022526753669692784,0.022526753669692784
2024-08-31,0.013443793839480776,0.018615797715805533,0.018453443283952282
2024-09-30,0.022769956931290324,0.023303696481873915,0.023303696481873915
2024-10-31,-0.013537699649577533,-0.021093508488811932,-0.021093508488811932
2024-11-30,0.003759376904163502,0.014037023071906731,0.014037023071906731
2024-12-31,-0.019082822347398515,-0.02716294773756897,-0.02716294773756897
2025-01-31,0.024509516677212326,0.021705526085117145,0.021705526085117145
2025-02-28,0.01775670058801299,0.015067127615398801,0.015067127615398801
2025-03-31,0.00948012126613594,-0.0005046725383874423,-0.0005046725383874423
2025-04-30,-0.01003890052104569,-0.0021805813466855145,-0.0021805813466855145
2025-05-31,0.011912459163656897,0.014381400056162353,0.008546041710336872
2025-06-30,0.027243282239521056,0.027044079857536315,0.025920717790867295
2025-07-31,0.003993918106522716,0.0007634373760075044,0.0007634373760075044
2025-08-31,0.01699173471816554,0.020288998275880734,0.020288998275880734
2025-09-30,0.031590196375223034,0.030108913184341238,0.030108913184341238
2025-10-31,0.012189884709474337,0.012354246898169035,0.012354246898169035
2025-11-30,0.011701051354568195,0.00944146517458584,0.00944146517458584
2025-12-31,0.0024794191544616944,0.0009611384839930926,0.0009611384839930926
2026-01-31,0.04294141161227571,0.031117874993518164,0.031117874993518164
2026-02-28,0.029582088967827228,0.02772380164262217,0.02772380164262217
2026-03-31,-0.012567136209828694,-0.03216757895926644,-0.03216757895926644
2026-04-30,0.038914801135259365,0.04181050261494675,0.032425175465224054
2026-05-31,-9.462480754975425e-05,0.011646179772554048,0.011646179772554048
