Date,SPY,EFA,EEM,IEF,TLT,LQD,HYG,GLD,DBC,VNQ,SHY
2007-04-11,101.38285064697266,44.21947479248047,26.965620040893555,50.86286163330078,48.23845291137695,50.06640625,31.692838668823242,67.08000183105469,20.637653350830078,35.80690383911133,57.78974151611328
2007-04-12,101.83333587646484,44.51472854614258,27.416471481323242,50.91224670410156,48.249481201171875,50.14174270629883,31.7141056060791,66.98999786376953,20.759479522705078,35.56322479248047,57.78254318237305
2007-04-13,102.29796600341797,44.66237258911133,27.551055908203125,50.825782775878906,48.10041809082031,50.05697250366211,31.656389236450195,67.83999633789062,20.873184204101562,35.964839935302734,57.75364303588867
2007-04-16,103.26947021484375,45.13362121582031,27.87853240966797,50.881317138671875,48.36540603637695,50.09935760498047,31.64425277709961,68.4000015258789,20.710750579833984,36.00996017456055,57.74651336669922
2007-04-17,103.54391479492188,45.139305114746094,27.728242874145508,51.09740447998047,48.63595962524414,50.37250900268555,31.629053115844727,68.0,20.49958038330078,36.47926330566406,57.84022903442383
2007-04-18,103.67070770263672,45.122249603271484,27.521900177001953,51.21469497680664,48.87887191772461,50.38661575317383,31.63819694519043,68.37999725341797,20.507699966430664,36.25364303588867,57.919551849365234
2007-04-19,103.6425552368164,44.95193099975586,27.299837112426758,51.208473205566406,48.79605484008789,50.41957092285156,31.74749183654785,67.52999877929688,20.450849533081055,36.00996017456055,57.919551849365234
2007-04-20,104.6209716796875,45.46861267089844,27.62506675720215,51.15292739868164,48.669063568115234,50.40544509887695,31.72928237915039,68.69999694824219,20.735116958618164,36.28071975708008,57.90516662597656
2007-04-23,104.22679138183594,45.025733947753906,27.51516342163086,51.25789260864258,48.84578323364258,50.55144500732422,31.74749183654785,68.26000213623047,20.873184204101562,36.68685531616211,57.94839859008789
2007-04-24,104.26900482177734,44.997352600097656,27.510683059692383,51.35662841796875,49.027976989746094,50.67860794067383,31.966190338134766,67.7300033569336,20.588918685913086,36.438663482666016,57.9989128112793
2007-04-25,105.22637176513672,45.41750717163086,27.851621627807617,51.32579803466797,48.85679626464844,50.60797882080078,32.01478576660156,67.88999938964844,20.99501609802246,36.41609573364258,57.977298736572266
2007-04-26,105.34607696533203,45.20742416381836,27.777591705322266,51.177635192871094,48.503475189208984,50.499637603759766,32.072479248046875,66.87000274658203,20.848819732666016,36.438663482666016,57.934017181396484
2007-04-27,105.26161193847656,45.11091232299805,27.638530731201172,51.177635192871094,48.49238586425781,50.48551940917969,32.072479248046875,67.55999755859375,20.954402923583984,36.3484001159668,57.955684661865234
2007-04-30,104.38866424560547,44.946250915527344,27.10468864440918,51.39982223510742,49.000370025634766,50.7303352355957,32.07551193237305,67.08999633789062,20.76759910583496,35.761775970458984,57.9989128112793
2007-05-01,104.65618133544922,44.90082550048828,27.212358474731445,51.4023323059082,49.03581237792969,50.70197677612305,32.07948303222656,66.69000244140625,20.808210372924805,35.45041275024414,57.97431945800781
2007-05-02,105.26863861083984,45.24150466918945,27.752925872802734,51.34040069580078,49.008094787597656,50.687801361083984,32.06730270385742,66.66000366210938,20.64577293395996,35.73019790649414,58.003231048583984
2007-05-03,105.83885955810547,45.303958892822266,27.98619842529297,51.284645080566406,48.897247314453125,50.6168327331543,32.070350646972656,67.48999786376953,20.74323844909668,35.82495880126953,57.95981216430664
2007-05-04,106.24002838134766,45.72979736328125,27.977224349975586,51.41473388671875,49.09677505493164,50.73984146118164,32.10996627807617,68.19000244140625,20.702625274658203,35.51359939575195,57.9887809753418
2007-05-07,106.2612075805664,45.79794692993164,28.158918380737305,51.458065032958984,49.229766845703125,50.80134582519531,32.10688400268555,68.25,20.605165481567383,35.612850189208984,57.9887809753418
2007-05-08,106.1203842163086,45.42318344116211,27.793304443359375,51.458065032958984,49.11892318725586,50.77296447753906,32.13124084472656,67.87999725341797,20.47521209716797,35.37821960449219,58.017730712890625
2007-05-09,106.40901184082031,45.67301940917969,28.241907119750977,51.29081726074219,48.924964904785156,50.69255828857422,32.04599380493164,67.44999694824219,20.369630813598633,35.761775970458984,57.97431945800781
2007-05-10,105.29679107666016,44.770240783691406,27.551055908203125,51.420921325683594,49.041358947753906,50.716224670410156,32.16172790527344,66.0,20.288408279418945,35.28345489501953,58.02499771118164
2007-05-11,106.19786071777344,45.52540588378906,28.25088119506836,51.31562042236328,48.869598388671875,50.6641731262207,32.17998504638672,66.44999694824219,20.588918685913086,35.761775970458984,58.003231048583984
2007-05-14,105.96553802490234,45.35506820678711,27.970497131347656,51.24124526977539,48.74212646484375,50.612125396728516,32.17692565917969,66.27999877929688,20.51582145690918,35.55872344970703,57.95981216430664
2007-05-15,105.99374389648438,45.43455505371094,28.00414276123047,51.23508834838867,48.72551727294922,50.49857711791992,32.15256881713867,66.54000091552734,20.718870162963867,35.01720428466797,57.97431945800781
2007-05-16,106.71880340576172,45.502681732177734,28.410127639770508,51.204044342041016,48.6922721862793,50.6168327331543,32.23784255981445,65.5999984741211,20.51582145690918,34.584014892578125,58.03219223022461
2007-05-17,106.50760650634766,45.2698860168457,28.30695152282715,51.067752838134766,48.4927978515625,50.4654655456543,32.228736877441406,65.05999755859375,20.686382293701172,33.98383331298828,57.99602127075195
2007-05-18,107.43675994873047,45.616241455078125,28.452749252319336,50.9190559387207,48.17136764526367,50.32358169555664,32.23784255981445,65.5199966430664,20.653892517089844,33.640899658203125,57.938140869140625
2007-05-21,107.38050842285156,45.40616989135742,28.504343032836914,50.98721694946289,48.315425872802734,50.3897819519043,32.268314361572266,65.66999816894531,20.856943130493164,33.77626037597656,57.95259475708008
2007-05-22,107.29598999023438,45.44590377807617,28.508825302124023,50.84467315673828,48.06605911254883,50.228965759277344,32.27134704589844,65.19999694824219,20.556434631347656,34.27716064453125,57.96706008911133
2007-05-23,107.31004333496094,45.67869567871094,28.463960647583008,50.745567321777344,47.927555084228516,50.18169403076172,32.24699783325195,65.54000091552734,20.653892517089844,34.01542282104492,57.95259475708008
2007-05-24,106.33866119384766,45.24150466918945,27.779842376708984,50.81375503540039,47.97186279296875,50.24314880371094,32.25613784790039,64.75,20.54018783569336,33.44686508178711,57.97431945800781
2007-05-25,106.78211975097656,45.531070709228516,28.206010818481445,50.7579460144043,47.861053466796875,50.210079193115234,32.30181121826172,64.94000244140625,20.791967391967773,33.636383056640625,58.010494232177734
2007-05-29,107.16926574707031,45.58784484863281,28.109560012817383,50.65262985229492,47.85551834106445,50.11074447631836,32.17389678955078,65.06999969482422,20.337142944335938,34.83671188354492,57.95259475708008
2007-05-30,108.04220581054688,45.78089904785156,28.396665573120117,50.70219421386719,47.95526123046875,50.14860534667969,32.24699783325195,64.72000122070312,20.532068252563477,35.77079391479492,57.99602127075195
2007-05-31,107.92953491210938,46.00802230834961,28.4774227142334,50.683597564697266,47.86658477783203,50.10601043701172,32.19520950317383,65.54000091552734,20.718870162963867,35.626399993896484,57.95981216430664
2007-06-01,108.46459197998047,46.30895233154297,29.188453674316406,50.46525955200195,47.61511993408203,49.913970947265625,32.19093704223633,66.44000244140625,20.873184204101562,35.6760368347168,57.930023193359375
2007-06-04,108.4786605834961,46.43386459350586,29.058364868164062,50.54610061645508,47.832096099853516,49.99477005004883,32.218467712402344,66.54000091552734,21.059986114501953,35.82044219970703,57.95185089111328
2007-06-05,108.04922485351562,46.19538116455078,28.957426071166992,50.3843994140625,47.53164291381836,49.83317947387695,32.17255783081055,66.37000274658203,20.97876739501953,35.25187301635742,57.90098571777344
2007-06-06,106.8877182006836,45.531070709228516,28.22844696044922,50.40922927856445,47.509437561035156,49.87595748901367,32.13273239135742,66.41000366210938,20.97064971923828,35.0127067565918,57.97364044189453
2007-06-07,104.95894622802734,44.75320053100586,27.793304443359375,49.905357360839844,46.65825271606445,49.343746185302734,31.982667922973633,65.26000213623047,21.07623291015625,33.91165542602539,57.908206939697266
2007-06-08,106.32453918457031,45.24150466918945,28.284526824951172,49.99869155883789,46.61931610107422,49.36750030517578,31.896934509277344,64.22000122070312,20.702625274658203,34.31777572631836,57.930023193359375
2007-06-11,106.50760650634766,45.394805908203125,28.526765823364258,49.86802673339844,46.48582077026367,49.21540451049805,31.829557418823242,64.69999694824219,21.10059928894043,33.8033447265625,57.93729019165039
2007-06-12,105.34607696533203,44.588539123535156,28.031064987182617,49.51341247558594,45.812644958496094,48.94928741455078,31.667217254638672,64.0999984741211,21.043745040893555,33.21670913696289,57.886497497558594
2007-06-13,106.92293548583984,45.167686462402344,28.591815948486328,49.6751594543457,46.35786819458008,49.16313171386719,31.72235870361328,64.52999877929688,21.311763763427734,33.95225524902344,57.90098571777344
2007-06-14,107.60568237304688,45.502681732177734,29.040422439575195,49.68758010864258,46.24102020263672,49.14884948730469,31.746862411499023,64.5999984741211,21.514812469482422,33.58675003051758,57.90098571777344
2007-06-15,108.21800994873047,45.87174987792969,29.702119827270508,49.905357360839844,46.558143615722656,49.343746185302734,31.7407283782959,64.8499984741211,21.644763946533203,33.95676803588867,57.98092269897461
2007-06-18,108.09072875976562,46.127254486083984,29.729028701782227,49.88045883178711,46.46353530883789,49.3389778137207,31.759113311767578,64.94999694824219,21.644763946533203,33.43330764770508,57.98092269897461
2007-06-19,108.3593521118164,46.17267990112305,29.762664794921875,50.12309646606445,46.897491455078125,49.65735626220703,31.798908233642578,65.4800033569336,21.433595657348633,33.496490478515625,58.08261489868164
2007-06-20,106.853515625,45.627593994140625,29.509212493896484,49.96134948730469,46.51919174194336,49.41977310180664,31.517154693603516,64.70999908447266,21.45796012878418,32.49018859863281,58.02446746826172
2007-06-21,107.44741821289062,46.04207992553711,29.877065658569336,49.89912414550781,46.29664611816406,49.29146194458008,31.57534408569336,64.55999755859375,21.360498428344727,32.670711517333984,58.04630661010742
